sku,qty,is_in_stock
127177,0,0
127178,0,0
127179,0,0
127180,0,0
127181,0,0
127182,0,0
127183,0,0
127184,0,0
127185,0,0
127186,0,0
127187,0,0
127188,0,0
127189,0,0
127190,0,0
127254,0,0
127255,0,0
127256,0,0
127257,0,0
127258,0,0
127259,0,0
127260,0,0
127261,0,0
127262,0,0
127263,0,0
127264,0,0
127265,0,0
127266,0,0
127267,0,0
127268,0,0
127269,0,0
127270,0,0
127271,0,0
127272,0,0
127273,0,0
127274,4,1
127275,4,1
127276,0,0
127277,0,0
127278,0,0
127279,0,0
127280,0,0
127281,0,0
127282,0,0
127283,0,0
127284,0,0
127285,0,0
127286,0,0
127287,0,0
127288,0,0
127289,0,0
127290,0,0
127291,0,0
127292,0,0
127293,1,1
127294,0,0
127295,0,0
127296,0,0
127297,0,0
127298,0,0
127299,0,0
127300,1,1
127301,0,0
127302,0,0
127303,0,0
127304,0,0
127305,0,0
127306,0,0
127307,0,0
127308,0,0
127309,0,0
127310,0,0
127311,0,0
127312,0,0
127313,0,0
127314,0,0
127317,0,0
127318,0,0
127319,0,0
127320,0,0
127321,0,0
127322,0,0
127323,0,0
127324,0,0
127325,0,0
127326,0,0
127327,0,0
127328,0,0
127329,0,0
127330,0,0
127331,0,0
127332,0,0
127333,0,0
127334,0,0
127335,0,0
127336,0,0
127337,0,0
127338,0,0
127339,0,0
127340,0,0
127341,0,0
127342,0,0
127343,0,0
127344,0,0
127345,0,0
127346,0,0
127347,0,0
127348,0,0
127349,0,0
127350,0,0
127351,0,0
127352,0,0
127353,0,0
127354,0,0
127355,0,0
127356,0,0
127357,0,0
127358,3,1
127359,0,0
127360,0,0
127361,0,0
127362,0,0
127363,0,0
127364,0,0
127365,0,0
127366,0,0
127367,0,0
127368,0,0
127369,0,0
127370,0,0
127371,3,1
127372,0,0
127373,0,0
127374,0,0
127375,0,0
127376,0,0
127377,0,0
127378,0,0
127379,0,0
127380,0,0
127381,0,0
127382,0,0
127383,0,0
127384,0,0
127385,0,0
127386,0,0
127387,0,0
127388,0,0
127389,0,0
127390,0,0
127391,1,1
127392,0,0
127393,0,0
127394,0,0
127395,0,0
127396,0,0
127397,0,0
127398,0,0
127399,0,0
127400,0,0
127401,0,0
127402,0,0
127403,0,0
127404,0,0
127405,0,0
127406,0,0
127407,0,0
127408,0,0
127409,0,0
127410,0,0
127411,0,0
127412,4,1
127413,0,0
127414,3,1
127415,0,0
127416,0,0
127417,0,0
127418,0,0
127419,0,0
127420,0,0
127421,0,0
127422,0,0
127423,1,1
127424,0,0
127425,0,0
127426,0,0
127427,0,0
127428,0,0
127429,0,0
127430,0,0
127431,0,0
127432,0,0
127433,0,0
127434,0,0
127435,0,0
127436,0,0
127437,0,0
127438,0,0
127439,0,0
127440,1,1
127441,0,0
127442,0,0
127443,0,0
127444,0,0
127445,0,0
127446,0,0
127447,0,0
127448,0,0
127449,0,0
127450,0,0
127451,0,0
127452,0,0
127453,0,0
127454,0,0
127455,0,0
127456,0,0
127457,0,0
127458,0,0
127459,0,0
127460,0,0
127461,0,0
127462,0,0
127463,0,0
127464,0,0
127465,0,0
127466,0,0
127467,0,0
127468,0,0
127469,0,0
127470,0,0
127471,0,0
127472,0,0
127473,0,0
127474,0,0
127475,0,0
127476,0,0
127477,0,0
127478,11,1
127479,8,1
127480,0,0
127481,6,1
127482,10,1
127483,7,1
127484,0,0
127485,0,0
127486,0,0
127487,0,0
127488,0,0
127489,0,0
127490,0,0
127491,0,0
127492,3,1
127493,3,1
127494,0,0
127495,0,0
127496,0,0
127497,0,0
127498,0,0
127499,0,0
127500,0,0
127501,0,0
127502,0,0
127503,0,0
127504,0,0
127505,0,0
127506,0,0
127507,0,0
127508,0,0
127509,0,0
127510,0,0
127511,0,0
127512,0,0
127513,5,1
127514,0,0
127515,0,0
127516,0,0
127517,0,0
127518,0,0
127519,0,0
127520,0,0
127521,0,0
127522,0,0
127523,0,0
127524,0,0
127525,0,0
127526,0,0
127527,0,0
127528,0,0
127529,0,0
127530,0,0
127531,0,0
127532,0,0
127533,0,0
127534,0,0
127535,0,0
127536,0,0
127537,0,0
127538,0,0
127539,0,0
127540,0,0
127541,0,0
127542,0,0
127543,0,0
127544,0,0
127545,0,0
127546,0,0
127547,0,0
127548,0,0
127549,0,0
127550,0,0
127551,0,0
127552,0,0
127553,0,0
127554,0,0
127555,0,0
127556,0,0
127557,0,0
127558,0,0
127559,0,0
127560,0,0
127561,0,0
127562,0,0
127563,0,0
127564,0,0
127565,0,0
127566,0,0
127567,0,0
127568,0,0
127569,0,0
127570,0,0
127571,0,0
127572,0,0
127573,3,1
127574,10,1
127575,0,0
127576,0,0
127577,0,0
127578,8,1
127579,0,0
127580,0,0
127581,0,0
127582,0,0
127583,0,0
127584,0,0
127585,0,0
127586,0,0
127587,0,0
127588,0,0
127589,0,0
127590,0,0
127591,0,0
127592,0,0
127593,0,0
127594,0,0
127595,0,0
127596,134,1
127597,0,0
127598,0,0
127599,0,0
127600,0,0
127601,0,0
127602,70,1
127603,12,1
127604,0,0
127605,0,0
127606,0,0
127607,0,0
127608,16,1
127609,0,0
127610,0,0
127611,0,0
127612,0,0
127613,0,0
127614,0,0
127615,0,0
127616,108,1
127617,0,0
127618,0,0
127619,40,1
127620,9,1
127621,0,0
127622,0,0
127623,4,1
127624,6,1
127625,0,0
127626,5,1
127627,0,0
127628,0,0
127629,0,0
127630,0,0
127631,0,0
127632,0,0
127633,0,0
127634,0,0
127635,0,0
127636,0,0
127637,0,0
127638,0,0
127639,0,0
127640,0,0
127641,0,0
127642,0,0
127643,3,1
127644,3,1
127645,3,1
127646,5,1
127647,0,0
127648,0,0
127649,5,1
127650,0,0
127651,0,0
127652,0,0
127653,0,0
127654,0,0
127655,0,0
127656,370,1
127657,0,0
127658,0,0
127659,0,0
127660,240,1
127661,0,0
127662,0,0
127663,0,0
127664,0,0
127665,0,0
127666,0,0
127667,3,1
127668,0,0
127669,0,0
127670,-5,0
